㑇	wqvg
蓏	aocc
蓐	adey
蓑	aygk
蓓	awuk
蓖	atkx
蓝	ajlf
蓟	acjj
蓠	aybc
蓢	ayve
蓣	acsm
蓥	apbu
蓦	scf
蓬	atdp
蓰	ahcc
蓼	anwe
蓿	apwj
蔀	aukb
蔃	axkj
蔈	abiu
蔊	aojf
蔌	auqw
蔑	aldy
蔓	ajlc
蔗	alou
蔚	anwy
蔟	apcu
蔡	awwm
蔫	agcq
蔬	acch
蔷	afuk
蔸	aqkq
蔹	awqt
蔺	aurf
蔻	apfc
蔼	ayjn
蔽	aotu
蕃	amlf
蕈	asvj
蕉	arou
蕊	anii
蕖	aias
蕗	alof
蕙	agji
蕞	ajbc
蕤	aeug
蕨	aduw
蕰	aijl
蕲	aulr
蕴	axjl
蕹	ayxr
蕺	akby
蕻	avru
蕾	aflf
薁	abod
薄	aiby
薅	avdy
薇	ahmt
薏	axni
薛	atda
薜	adaj
薢	aqep
薤	abmg
薨	alpx
薪	auir
薮	aovt
薯	alfj
薰	aqbu
薳	afkp
薷	afdm
薸	aibi
薹	afka
薿	axcw
藁	ahks
藉	adij
藏	auay
藐	aekq
藓	acpj
藕	adic
藜	atqi
藟	alll
藠	akkk
藤	aexi
藦	avch
藨	asxo
藩	aiml
藻	aiks
藿	afrf
蘅	ahcw
蘑	avdf
蘖	atds
蘘	ayxk
蘧	ahep
蘩	axti
蘸	asro
蘼	avmx
虍	hhgn
虎	hnv
虏	hle
虐	hvd
虑	hnii
虒	rhnv
虓	vhnn
虔	hci
虚	hod
虞	hkgd
虢	efyn
虤	hnhn
虫	jhny
虬	jnn
虮	jnn
虱	ntji
虷	jfh
虸	jbg
虹	jag
虺	pji
虻	jyn
虼	jsn
虽	kju
虾	jghy
虿	gqju
蚀	hjy
蚁	jyry
蚂	jcg
蚄	jpt
蚆	jjn
蚊	jcy
蚋	jmwy
蚌	jdhh
蚍	jaxn
蚓	jxhh
蚕	gdju
蚜	jrtt
蚝	jcnn
蚣	jmcy
蚤	cuju
蚧	jwjh
蚨	jay
蚩	bgju
蚪	jwh
蚬	jmsn
蚯	jrgg
蚰	jng
蚱	jkfg
蚲	jfut
蚴	jxlt
蚵	jskg
蚶	jafg
蚺	jmfg
蛀	jbg
蛃	jewy
蛄	jdg
蛆	jeg
蛇	jpxn
蛉	jdyy
蛊	jlf
蛋	wju
蛎	jdqt
蛏	jcfg
蛐	jkah
蛑	jcph
蛔	jlkg
蛘	jph
蛙	jffg
蛛	jtsy
蛞	jqg
蛟	jury
蛤	jwg
蛩	anju
蛭	jag
蛮	pju
蛰	hju
蛱	jxwy
蛲	jxpn
蛳	jjkm
蛴	jcjh
蛸	jieg
蛹	jceh
蛾	jryy
蜀	lqju
蜂	jtdh
蜃	deji
蜇	rrju
蜈	jkgd
蜉	jebg
蜊	jtjh
蜍	jwiy
蜎	jkeg
蜐	jllt
蜒	jtcp
蜓	jqpy
蜕	jdqn
蜗	jkmw
蜘	jckg
蜚	mxju
蜜	pnoj
蜞	jhy
蜡	jajg
蜢	jblg
蜣	jpnn
蜥	jsrh
蜩	jmfk
蜮	jxkg
蜱	jrvh
蜴	jjqr
蜷	jxln
蜻	jgeg
蜾	jjsy
蜿	jpql
蝇	jkjn
蝈	jlby
蝉	julf
蝌	jtwh
蝎	jjqn
蝓	jwwh
蝗	jkgg
蝘	jajv
蝙	joma
蝠	jrlg
蝣	jpbg
蝤	jusg
蝥	ctju
蝮	jtjt
蝰	jdff
蝲	jujh
蝴	jdeg
蝶	jkds
蝻	jhef
蝼	jovg
蝽	jdwj
蝾	japs
螂	jyvb
螃	jupp
螅	jtni
螈	jdki
螋	jvhc
融	rmuj
螓	jdwt
螗	jowk
螟	jpju
螠	juul
螣	exjy
螨	jaea
螫	fotj
螬	jemj
螭	jybc
螯	gtju
螱	nwmj
螳	jjfg
螵	jbiy
螺	jlxi
螽	tujj
蟀	jacf
蟆	jsy
蟊	cjju
蟋	jmni
蟏	javj
蟑	jxfh
蟒	jada
蟓	jleu
蟛	jfae
蟠	jmlg
蟥	janu
蟪	jgji
蟫	jsvh
蟮	jpur
蟹	qevj
蟾	jqdy
蠃	yejn
蠊	jouo
蠋	jlqj
蠓	japu
蠕	jfdm
蠖	jarc
蠛	jaly
蠡	xeuj
蠢	dwjj
蠲	uulj
蠹	npdj
蠼	jhhc
血	tld
衃	tlgy
衄	tlnf
衅	tlvu
行	hwh
衍	hiwh
衎	hfwh
衒	hacw
衔	hqwh
街	hffw
衙	hskw
衠	hfew
衡	hcww
衢	hhhw
衣	yku
衤	bynh
补	bhy
表	gku
衩	bcuy
衫	bet
衬	bfyy
衮	ucku
衰	ygku
衲	bmwy
衷	vkku
衽	bqg
衾	dyku
衿	bdn
袁	fkku
袂	bby
袄	bmyy
袅	qyki
袆	bvnn
袈	vyku
袋	hyyk
袍	bqln
袒	bjgg
袖	bng
袗	bwet
袜	bgsy
袢	bvuy
袤	ycku
袪	bly
被	bhcy
袭	dxyk
袯	bhdc
袱	bwdy
袷	bwg
袼	bog
裁	jyki
裂	bjyk
装	ufyk
裆	bivg
裈	bplh
裉	bvy
裎	bkgg
裒	yvku
裔	ykmr
裕	bmrg
裘	fyku
裙	bvtk
裛	yjku
裟	iitk
裢	blpy
裣	bwqg
裤	bolh
裥	bujg
裨	brvh
裰	booy
裱	bgky
裳	jyku
裴	mxyk
裸	bjsy
裹	yjsk
裼	bjqr
裾	bndg
褂	bffh
褊	boma
褐	bjqn
褒	ymkk
褓	bmkg
褕	bwwh
褙	buxe
褚	bfjg
褛	bovg
褟	bjng
褡	bawg
褥	bdey
褪	bvpy
褫	brhn
褯	blbh
褰	pyku
褴	bjlg
褶	bnkg
襁	bxkj
襄	yxek
襕	busl
襚	buep
襜	bqdy
襞	dayk
襟	bmwm
襦	bfdm
襫	bddj
襻	bmih
西	sghg
要	svf
覃	svj
覆	shtt
见	msb
观	cmsn
觃	msbd
规	amsn
觅	emsb
视	omsn
觇	vmsn
览	jmsb
觉	imsb
觊	mlms
觋	aams
觌	viws
觎	wwms
觏	emfs
觐	qfms
觑	homs
角	qej
觖	qeby
觚	qeoc
觜	cxqe
觞	qetv
觟	qeff
解	qevp
觥	qekn
触	qejy
觫	qeuy
觭	qedk
觯	qeuf
觱	drxe
觳	fpgx
觿	qemr
言	yyyy
訄	vyd
訇	qyd
訚	uyd
訾	cxyf
詈	lyf
詟	dxyf
詹	qdmy
誉	cyf
誊	xyf
誓	rryf
謇	pyf
謦	fnhy
警	asty
譬	dayf
讠	yyn
计	yfh
订	ysh
讣	yhy
认	ywy
讥	ynn
讦	yfh
讧	yag
讨	yfyy
让	yhg
讪	ymh
讫	ysn
训	yjh
议	yyry
讯	ynfh
记	yln
讱	yvyy
讲	yxh
讳	yvnn
讴	yary
讵	yang
讶	yrtt
讷	ymwy
许	yrhh
讹	yhn
论	ywxn
讻	ybh
讼	ymcy
讽	ynry
设	yxy
访	ypt
诀	yby
证	ygcg
诂	ydg
诃	yskg
评	yfut
诅	yeg
识	ykuy
诇	ymkg
诈	ykfg
诉	yryy
诊	ywet
诋	yscy
诌	yqvg
词	ynrg
诎	ybmh
诏	yvkg
诐	yhcy
译	ycvh
诒	yckg
诓	yagg
诔	ydiy
试	yaag
诖	yffg
诗	yffy
诘	yfkg
诙	ydoy
诚	ypxy
诛	ytsy
诜	yeqn
话	yqg
诞	ytcp
诟	yfkg
诠	yoxg
诡	yqdl
询	yqjg
诣	yxjg
诤	yqsh
该	yaoy
详	yph
诧	ypmn
诨	yplh
诩	yng
诫	yxah
诬	yaay
语	yskg
诮	yieg
误	ykgd
诰	yekg
诱	ytet
诲	yxy
诳	yvgg
说	ydqn
诵	yceh
诶	yccy
请	ygeg
诸	yfjg
诹	ybcy
诺	yatr
读	yviw
诼	yeuy
诽	ymxg
课	yjsy
诿	ytvg
谀	yvwy
谁	yrg
谂	ydni
调	ymfk
谄	yqvg
谅	yyiy
谆	yybg
谇	yyaf
谈	yooy
谊	ypeg
谋	yafs
谌	yhnn
谍	ykds
谎	yayh
谏	yslg
谐	yaxk
谑	yhvg
谒	yjqn
谓	yleg
谔	yxgw
谕	ywwh
谖	yegc
谗	ylsu
谘	ykkg
谙	yxg
谚	yute
谛	yupb
谜	yopy
谝	yoma
谞	yweg
谟	ysy
谠	yjqn
谡	ylmt
谢	yyfy
谣	yerm
谤	yupp
谥	yuul
谦	yuvo
谧	ynol
谨	yqfg
谩	yjlc
谪	yedg
谫	yuwv
谬	ynwe
谭	ysvh
谮	ylsj
谯	yroy
谰	yusl
谱	yuoj
谲	ycmr
谳	yhey
谴	yxdp
谵	yqdy
谶	yaxg
谷	mrf
谼	mrry
谿	exdr
豁	jrmr
豆	gaf
豇	gaag
豉	gafc
豌	gapl
豕	eui
豚	eeuy
象	leui
豢	xeuu
豨	eurb
豪	heuu
豫	cslu
豮	eufm
豳	eumu
豸	etyt
豹	eqyy
豺	eftt
貂	evkg
貅	ewsy
貆	egjg
貉	eog
貊	edjg
貌	ekqn
貔	etkx
貘	esy
贝	mhny
贞	hmu
负	qmu
贡	amu
财	mftt
责	gmu
贤	tmu
败	mty
账	mhsy
货	hmu
质	rfmi
贩	mrcy
贪	dmu
贫	mvmu
贬	mtpy
购	mqcy
贮	mpgg
贯	xfmu
贰	afmi
贱	mgxy
贲	famu
贳	kdmu
贴	mvg
贵	xmu
贶	mkqn
贷	hymu
贸	qyvm
费	xjmu
贺	vmu
贻	mckg
贼	mxdt
贽	hmu
贾	smu
贿	mefg
赀	cxmu
赁	wqmu
赂	mog
赃	mofg
资	kmu
赅	maoy
赆	mnmu
赇	mfy
赈	mdey
赉	ximu
赊	moiy
赋	mgac
赌	mfjg
赍	fapm
赎	mviw
赏	jmu
赐	mjqr
赑	mmmu
赒	mmfk
赓	ovwm
赔	mukg
赕	mooy
赖	uqmy
赗	mjhg
赘	gtmu
赙	mbfy
赚	muvo
赛	pmu
赜	aygm
赝	dwrm
赞	eqem
赟	cgam
赠	mljg
赡	mqdy
赢	yemn
赣	xftm
赤	fou
赦	foty
赧	foiy
赪	fohm
赫	fofo
赭	fofj
走	kghy
赳	knhk
赴	khi
赵	kri
赶	kfk
起	klv
趁	kwee
趄	ked
超	kvkd
越	kaxy
趋	kqvd
趑	kki
趔	kbjk
趟	kjd
趣	kbci
趯	knrd
趱	keqm
足	lhny
趴	lmy
趵	lqyy
趸	gqlu
趺	lay
趼	leh
趾	lcg
趿	leyy
跂	lfcy
跃	lmyy
跄	lwln
跆	lckg
跋	ldcy
跌	lrwy
跎	lpxn
跏	lvg
跐	lcxn
跑	lqln
跖	ldg
跗	lwfy
跚	lygg
跛	lhcy
距	lang
跞	lqiy
跟	lvy
跣	leqn
跤	lury
跨	ldgw
跪	lqdl
跫	anlu
跬	lffg
路	log
跱	lffy
跳	liqn
践	lgxy
跶	ldpy
跷	lxpn
跸	laxf
跹	lqpy
跺	lnsy
跻	lcjh
跽	llni
踅	rrlu
踉	lyvy
踊	lceh
踌	lofy
踏	lhij
踒	ltvg
踔	lhvh
踝	ljsy
踞	lndg
踟	lckg
踢	ljqr
踣	lukg
踦	ldsk
踩	lesy
踪	lpwm
踬	lrfm
踮	lokg
踯	lsbh
踱	llcy
踵	lqua
踶	ljwy
踹	lmdm
踺	lwfp
踽	ltkc
蹀	lkds
蹁	loma
蹂	lcsy
蹄	lupb
蹅	lsjg
蹇	plu
蹈	levg
蹉	lpag
蹊	lexd
蹋	ljng
蹐	liwe
蹑	lboy
蹒	laea
蹙	dmtl
蹚	ljfg
蹜	lpwj
蹢	ledg
蹦	lmee
蹩	otlu
蹬	lwga
蹭	lljg
蹯	lmlg
蹰	lday
蹲	lusy
蹴	lyin
蹶	lduw
蹼	loay
蹽	ldui
蹾	lybt
蹿	lpsk
躁	lkxs
躅	llqj
躇	lafj
躏	laur
躐	lvku
躔	louf
躜	leqm
躞	loyc
身	ytht
躬	yxn
躯	yary
躲	ynsy
躺	yjg
軎	lkf
车	lgnh
轧	lnn
轨	lvn
轩	lfh
轪	ldy
轫	lvyy
转	lvcy
轭	ldln
轮	lwxn
软	lqwy
轰	lou
轱	ldg
轲	lskg
轳	lhnt
轴	lng
轵	lkuy
轶	lrwy
轷	ltuh
轸	lwet
轹	lqiy
轺	lvkg
轻	lcag
轼	laag
载	jld
轾	lag
轿	lmjh
辀	ley
辁	loxg
辂	log
较	lury
辄	lbnn
辅	lby
辆	leay
辇	aalj
辈	mxlj
辉	kplh
辊	ljax
辋	lmuy
辌	lyiy
辍	looy
辎	lvlg
辏	ldwd
辐	lrlg
辑	lkbg
辒	ljlg
输	lwwh
辔	xlxk
辕	lfkk
辖	ljrg
辗	lnae
辘	lsxn
辙	lyct
辚	lobh
辛	aygh
辜	daj
辞	qah
辟	dah
辣	auy
辨	avah
辩	ayah
辫	axah
辰	dei
辱	defy
辶	pyny
边	lpi
辽	bpi
达	dpi
辿	mpi
迁	qpi
迂	fhpi
迄	spi
迅	nfpi
过	fypi
迈	gqpi
迎	qbpi
运	cpi
近	rpi
迓	rtpi
返	rcpi
迕	rhpi
还	gpi
这	cpi
进	xpi
远	fqpi
违	vnpi
连	lpi
迟	nmpi
迢	vkpi
迤	tmpi
迥	mkpi
迦	vpi
迨	ckpi
迩	qipi
迪	npi
迫	kpi
迭	rwpi
迮	kfpi
述	sypi
迳	capi
迷	opi
迸	uepi
迹	ppi
迺	spi
追	tdpi
退	vpi
送	spi
适	qpi
逃	iqpi
逄	tahp
逅	fkpi
逆	ubpi
选	eqpi
逊	bipi
逋	bpi
逍	iepi
透	tepi
逐	eupi
逑	fpi
递	uxpi
途	wipi
逖	vopi
逗	gapi
通	cepi
逛	vgpi
逝	rrpi
逞	kgpi
速	upi
造	ekpi
逡	cmtp
逢	tdhp
逦	gypi
逭	pdpi
逮	vipi
逯	jipi
逴	hvpi
逵	fmfp
逶	tvpi
逸	lsyp
逻	lqpi
逼	rlpi
逾	wwpi
遁	rfhp
遂	ueup
遄	mdmp
遆	upbp
遇	jmcp
遍	omap
遏	jqwp
遐	rncp
遑	kgpi
遒	uspi
道	qpi
遗	xmpi
遘	emfp
遛	qyvp
遢	jnpi
遣	xdpi
遥	ermp
遨	gtpi
遭	emjp
遮	lopi
遴	obpi
遵	usfp
遹	cmrp
遽	heup
避	dapi
邀	kptp
邂	qevp
邃	puep
邈	ekqp
邋	vkrp
邑	kjb
邓	cbh
邕	vkjb
邗	fbh
邘	fhbh
邙	ybh
邛	abh
邝	obh
邠	mvbh
邡	pbh
邢	ebh
那	obh
邦	obh
邨	babh
邪	rtbh
邬	qngb
邮	nbh
邯	afbh
邰	ckbh
邱	rgbh
邲	nobh
邳	ggbh
邴	ewbh
邵	vkbh
邶	uxbh
邸	scbh
邹	qvbh
邺	obh
邻	dybh
邽	ffbh
邾	tsbh
邿	ffyb
郁	efbh
郃	wbh
郄	rdcb
郅	abh
郇	qjbh
郈	fkbh
郊	urbh
郎	yvbh
郏	xwbh
郐	ocbh
郑	sbh
郓	plbh
郗	rdbb
郚	skbh
郛	ebbh
郜	ekbh
郝	fobh
郡	vtkb
郢	kgbh
郤	mrbh
郦	gybh
郧	kmbh
部	ukbh
郪	gwvb
郫	rvbh
郭	ybbh
郯	oobh
郴	mbh
郸	ulfb
都	fjbh
郾	ajvb
郿	nhhb
鄀	atrb
鄂	xgwb
鄃	wwbh
鄄	sfbh
鄅	tkmb
鄌	owkb
鄑	gojb
鄗	hkbh
鄘	oweb
鄙	kdkb
鄚	sbh
鄜	sxbh
鄞	qfbh
鄠	fgwb
鄢	gcqb
鄣	xfbh
鄫	ljbh
鄯	purb
鄱	mlbh
鄹	bcwb
酂	eqeb
酃	fxkb
酅	mrmb
酆	dhmb
酉	sghg
酊	ssh
酋	usf
酌	sqyy
配	sln
酎	sfyy
酏	smn
酐	sfh
酒	isg
酗	sbh
酚	smvt
酝	scy
酞	sduy
酡	spxn
酢	skfg
酣	safg
酤	sdg
酥	sty
酦	shdc
酩	sqkg
酪	sog
酬	sjiy
酮	smg
酯	sxjg
酰	seqn
酱	uqsf
酲	skgg
酴	swiy
酵	sfbg
酶	sxy
酷	sekg
酸	scmt
酹	sefy
酺	sby
酽	sgod
酾	sgyy
酿	syvy
醅	sukg
醇	sybg
醉	syaf
醋	sajg
醌	sjax
醍	sjwy
醐	sdeg
醑	sweg
醒	sjpg
醚	sopy
醛	saox
醢	strl
醣	sowk
醨	sybc
醪	snwe
醭	soay
醮	sroy
醯	sycl
醴	skaa
醵	sheu
醺	sqby
醾	svoy
采	esu
釉	mng
释	mcvh
里	uaf
重	quaf
野	uacs
量	jgua
釐	fita
金	buf
釜	mfuf
鉴	jbuf
銎	anbu
銮	pbuf
鋆	fquu
鋈	imyu
錾	lrbu
鍪	ctbu
鎏	iycu
鏊	gtbu
鏖	sxbu
鐾	dabu
鑫	bubu
钅	qtgn
钆	qnn
钇	qnn
针	qfh
钉	qsh
钊	qjh
钋	qhy
钌	qbh
钍	qfg
钎	qqh
钏	qjh
钐	qet
钒	qny
钓	qqyy
钔	qun
钕	qvg
钖	qvt
钗	qcuy
钘	qeh
钙	qgch
钚	qgy
钛	qduy
钜	qang
钝	qban
钞	qitt
钟	qsh
钠	qmwy
钡	qmy
钢	qmry
钣	qrcy
钤	qdn
钥	qeg
钦	qqwy
钧	qqug
钨	qqng
钩	qqcy
钪	qynn
钫	qpt
钬	qoy
钭	qwh
钮	qnfg
钯	qjn
钰	qby
钱	qgxy
钲	qgcg
钳	qafg
钴	qdg
钵	qjg
钶	qskg
钷	qakg
钸	qdbh
钹	qdcy
钺	qaxy
钻	qvg
钼	qhg
钽	qjgg
钾	quh
钿	qlg
铀	qng
铁	qrwy
铂	qkg
铃	qdyy
铄	qqiy
铅	qnkg
铆	qqtb
铈	qvmn
铉	qacy
铊	qpxn
铋	qnoy
铌	qnxn
铍	qhcy
铎	qcvh
铏	qejh
铐	qfwn
铑	qfxn
铒	qbg
铕	qefg
铖	qpxy
铗	qxwy
铘	qrtb
铙	qxpn
铚	qag
铛	qivg
铜	qmg
铝	qkkg
铞	qkbh
铟	qldy
铠	qmln
铡	qmjh
铢	qtsy
铣	qeqn
铤	qqpy
铥	qtly
铧	qmxn
铨	qoxg
铩	qjy
铪	qwg
铫	qiqn
铬	qog
铭	qqkg
铮	qqsh
铯	qqjn
铰	qury
铱	qyky
铲	qutt
铳	qycq
铴	qivt
铵	qpvg
银	qvy
铷	qvkg
铸	qofy
铹	qapl
铺	qby
铻	qskg
铼	qxiy
铽	qani
链	qlpy
铿	qtfg
销	qieg
锁	qimy
锂	quag
锃	qkgg
锄	qelt
锅	qkmw
锆	qekg
锇	qryy
锈	qtet
锉	qafg
锊	qefy
锋	qtdh
锌	qah
锍	qych
锎	queh
锏	qujg
锐	qdqn
锑	quxt
锒	qyvy
锓	qvpc
锔	qnsg
锕	qbsk
锖	qgeg
锗	qfjg
锘	qatr
错	qajg
锚	qalg
锛	qdfa
锜	qdsk
锝	qxhh
锞	qjsy
锟	qjax
锡	qjqr
锢	qldg
锣	qlqy
锤	qqag
锥	qrg
锦	qkbh
锧	qrfm
锨	qrqw
锩	qxln
锪	qqri
锫	qukg
锬	qooy
锭	qpwy
键	qwfp
锯	qndg
锰	qblg
锱	qvlg
锲	qdhd
锳	qamd
锴	qaxk
锵	quqy
锶	qlni
锷	qxgw
锸	qqvg
锹	qtoy
锺	qqua
锻	qnxy
锼	qvhc
锽	qkgg
锾	qegc
锿	qyky
镀	qlcy
镁	qugd
镂	qovg
镃	quoy
镄	qxjm
镅	qnhh
镆	qsy
镇	qfeu
镈	qbfy
镉	qrmh
镊	qboy
镋	qjqn
镌	qret
镍	qtsy
镎	qwch
镏	qqyl
镐	qhkg
镑	qupp
镒	quul
镓	qpeu
镔	qpru
镕	qprg
镖	qbiy
镗	qjfg
镘	qjlc
镙	qlxi
镚	qmee
镛	qowe
镜	qxqn
镝	qedg
镞	qpcy
镟	qpwy
镠	qnwe
镡	qsvh
镢	qduw
镣	qdui
镤	qoay
镥	qcjg
镦	qybt
镧	qusl
镨	quoj
镩	qpsk
镪	qxkj
镫	qwga
镬	qarc
镭	qflg
镮	qlrk
镯	qlqj
镰	qouo
镱	qxni
镲	qpwm
镳	qsxo
镴	qvku
镵	qlay
镶	qyxk
长	hsi
门	uyhn
闩	ugd
闪	uwi
闫	udd
闭	ufte
问	ukd
闯	ucd
闰	ugd
闱	uvnv
闲	usi
闳	udci
间	ujd
闵	uci
闶	uynv
闷	unii
闸	uuk
闹	uvmv
闺	uffd
闻	ubd
闼	udpi
闽	uji
闾	ukkd
闿	umlv
阀	uwxi
阁	uod
阂	uaoi
阃	ulsi
阄	uqjn
阅	udqv
阆	uyvi
阇	ufjd
阈	uxkg
阉	udjn
阊	ujjd
阋	uvqv
阌	ujci
阍	usnj
阎	uqvd
阏	upwu
阐	uulf
阑	usld
阒	uhdy
阔	uiqd
阕	uwgd
阖	ulld
阗	ufeu
阘	ujnd
阙	uubw
阚	unbt
阜	tdfj
阝	bnh
队	bwy
阡	bqh
阢	bpn
阪	brcy
阮	bfqn
阱	bxh
防	bpt
阳	bjg
阴	beg
阵	blh
阶	bwjh
阻	beg
阼	bkfg
阽	bvg
阿	bskg
陀	bpxn
陂	bhcy
附	bwfy
际	bwmy
陆	bfmh
陇	bdxn
陈	baiy
陉	bcag
陋	bewn
陌	bdjg
降	btah
陎	btsy
限	bvy
陑	bdmh
陔	baoy
陕	bxwy
陛	baxf
陞	btaf
陟	bcit
陡	bky
院	bpfq
除	bwiy
陧	bjfg
陨	bkmy
险	bwqg
陪	bukg
陬	bbcy
陲	bqag
陴	brvh
陵	bfmt
陶	bqrm
陷	bqvg
隃	bwwh
隅	bjmc
隆	btgg
隈	bley
隋	bdae
隍	bkgg
随	befp
隐	bqvi
隔	brmh
隗	bqcy
隘	buul
隙	biji
障	bxfh
隧	buep
隩	bbod
隰	bjoo
隳	bday
隶	vii
隹	rthg
隺	prd
隼	rfj
隽	rer
难	crg
雀	irf
雁	dwrd
雄	dcrg
雅	rtrg
集	mbgd
雇	ord
雉	crg
雊	srg
雌	cxrg
雍	yxtr
雎	erg
雏	qvrg
雒	org
雕	mfkr
雠	ryrg
雨	mkii
雩	fgwb
雪	fvf
雯	fcu
雱	fpr
雳	fdlr
零	fdyu
雷	flf
雹	fqlb
雾	ftlr
需	fdmj
霁	fcjj
霄	fief
霅	fyf
霆	fqpu
震	fdeu
霈	figb
霉	fxu
霍	frf
霎	fuvf
霏	fmxf
霓	fvqb
霖	fmu
霜	ftf
霞	frnc
霨	fnwy
霪	fieq
霭	fyjn
霰	faet
露	flof
霸	fqef
霹	fdaj
霾	feua
青	gef
靓	gems
靖	ugeg
静	geqs
靛	gepw
非	mxg
靠	ekmx
靡	vmxd
面	dljf
靥	ddyf
革	qghh
靬	qfh
靰	qpn
靳	qrh
靴	qhn
靶	qjn
靸	qeyy
靺	qgsy
靼	qjgg
靽	qvuy
靿	qxlt
鞁	qhcy
鞅	qmdy
鞋	qffg
鞍	qpvg
鞑	qdpy
鞒	qmjh
鞔	qlsn
鞘	qieg
鞠	qqoy
鞡	qrug
鞣	qcsy
鞧	qusg
鞨	qjqn
鞫	qqyg
鞬	qwfp
鞭	qwgr
鞮	qjwy
鞯	qadb
鞲	qemf
鞳	qawg
鞴	qate
韂	qqdy
韦	vnv
韧	vnvy
韨	vndc
韩	kvnn
韪	jwvn
韫	vnjl
韬	vnev
韭	mxgf
音	xygg
韵	xqug
韶	xvkg
页	dmu
顶	sdmy
顷	admy
顸	fdmy
项	admy
顺	jdmy
须	edmy
顼	gdmy
顽	fqdm
顾	dbdm
顿	badm
颀	rdmy
颁	mvdm
颂	mcdm
颃	yndm
预	csdm
颅	hndm
领	dydm
颇	hcdm
颈	cadm
颉	fkdm
颊	xwdm
颋	qpdm
颌	wdmy
颍	xhim
颎	xodm
颏	aodm
颐	aydm
频	cidm
颓	tndm
颔	dkdm
颖	xtdm
颗	jsdm
题	jwdm
颙	jmcm
颚	xgwm
颛	mdmm
颜	utem
额	podm
颞	bodm
颟	aeam
颠	feum
颡	cosm
颢	kidm
颤	ylkm
颥	fdmm
颦	cidv
颧	axrm
风	nri
飏	nrve
飐	nrvd
飑	nrql
飒	unry
飓	nreu
飔	nrli
飕	nrvc
飗	nrql
飘	binr
飙	dydr
飚	nroo
飞	nui
食	hhhh
飧	qhy
飨	xthy
餍	ddyh
餐	hqch
餮	bweh
饔	yxth
饕	kwhh
饣	htnn
饥	hnn
饧	hvt
饨	hban
饩	hen
饪	hqg
饫	hmyy
饬	htlt
饭	hrcy
饮	hqwy
饯	hgxy
饰	htbh
饱	hqln
饲	hnrg
饳	hbmh
饴	hckg
饵	hbg
饶	hxpn
饷	hbkg
饸	hwg
饹	hog
饺	hury
饻	hyky
饼	hueh
饽	hfpb
饿	hryy
馀	hwiy
馁	hevg
馃	hjsy
馄	hjax
馅	hqvg
馆	hpdg
馇	hsjg
馈	hxmy
馉	hxg
馊	hvhc
馋	hlsu
馌	hllg
馍	hsy
馏	hqyl
馐	hpnf
馑	hqfg
馒	hjlc
馓	haet
馔	hllr
馕	hnpk
首	qytg
馗	vqd
馘	qxkg
香	tjf
馝	tjno
馞	tjfb
馥	tjtt
馧	tjjl
馨	fnhj
马	coa
驭	ccy
驮	cdy
驯	cjh
驰	cmn
驱	cary
驲	cjg
驳	ciy
驴	cot
驵	ceg
驶	ckry
驷	clg
驸	cwfy
驹	csg
驺	cqvg
驻	cbg
驼	cpxn
驽	vccf
驾	vcf
驿	ccvh
骀	cckg
骁	cxpn
骂	xcf
骃	cldy
骄	cmjh
骅	cmxn
骆	cog
骇	caoy
骈	cueh
骉	cccf
骊	cgyy
骋	cnwn
验	cwqg
骍	cah
骎	cvpc
骏	ccmt
骐	chy
骑	cdsk
骒	cjsy
骓	crg
骕	cvij
骖	ccde
骗	coma
骘	bcic
骙	cwgd
骚	ccuj
骛	ctcf
骜	gtcf
骝	cqyl
骞	pcf
骟	cong
骠	cbiy
骡	clxi
骢	ctki
骣	cnbb
骤	cbci
骥	cuxr
骦	cftg
骧	cyxk
骨	xhng
骰	xxy
骱	xwjh
骶	xscy
骷	xdg
骸	xaoy
骺	xfkg
骼	xog
髀	xrvh
髁	xjsy
髂	xpog
髃	xjmc
髅	xovg
髋	xpas
髌	xpru
髎	xnwe
髑	xlqj
髓	xdap
高	hkd
髟	vet
髡	vepb
髢	vemb
髦	vecn
髫	vevk
髭	vecx
髯	vemf
髹	vews
髻	vefk
髽	veaf
鬃	vepm
鬈	vexl
鬏	veto
鬒	vefu
鬓	vepu
鬘	vejc
鬟	velk
鬣	vevu
鬯	robx
鬲	rmuh
鬶	amsh
鬷	rmut
鬻	xoxh
鬼	qci
魁	qcwk
魂	cqcy
魃	qcdc
魄	kqcy
魅	qcfi
魆	qcay
魇	ddyc
魈	qcie
魉	qcea
魋	qcrd
魍	qcmy
魏	tvqc
魑	qcyc
魔	vqci
鱼	ctng
鱽	cvt
鱾	cln
鱿	cdnn
鲀	cban
鲁	cjf
鲂	cpt
鲃	cjn
鲅	cdcy
鲆	cfut
鲇	cvg
鲈	chnt
鲉	cng
鲊	ckfg
鲋	cwfy
鲌	ckg
鲍	cqln
鲎	icf
鲏	chcy
鲐	cckg
鲑	cffg
鲒	cfkg
鲔	cefg
鲕	cdmh
鲖	cmg
鲗	cmjh
鲘	cfkg
鲙	cocy
鲚	ccjh
鲛	cury
鲜	cph
鲝	pcd
鲞	xcf
鲟	cvfy
鲠	cgjr
鲡	cgyy
鲢	clpy
鲣	ctfg
鲤	cuag
鲥	cjfy
鲦	ctiy
鲧	ctxi
鲨	iitc
鲩	cpfq
鲪	cvtk
鲫	cvbh
鲬	cceh
鲭	cgeg
